shop.id,arm,time,date,num.cust,num.agyw,num.condom.agyw,num.oc.agyw,num.ec.agyw,num.contra.agyw,num.preg.agyw,num.hivref.agyw,num.fpref.agyw,num.pregref.agyw,num.ref.agyw,num.hivst.rec.agyw,ward,time2,num.nonagyw,agyw.prop,wday,wend,duration,hour.min.st
Intervention 1,Intervention (Queen Club),0,2019-07-30,8,2,0,0,0,0,1,0,0,0,0,NA,ward1,0,6,0.25,Tue,Weekday,3,15.5
Intervention 1,Intervention (Queen Club),0,2019-08-01,7,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,5,0.2857142857142857,Thu,Weekday,3,9.5
Intervention 1,Intervention (Queen Club),0,2019-08-11,5,1,0,0,0,0,0,0,0,0,0,NA,ward1,0,4,0.2,Sun,Weekend,3,17
Intervention 1,Intervention (Queen Club),0,2019-08-14,4,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,2,0.5,Wed,Weekday,3,17
Comparison 1,Comparison,0,2019-07-30,15,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,13,0.13333333333333333,Tue,Weekday,3,9.5
Comparison 1,Comparison,0,2019-08-03,15,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,13,0.13333333333333333,Sat,Weekend,3.1333333333333333,13.166666666666666
Comparison 1,Comparison,0,2019-08-05,51,1,0,0,0,0,0,0,0,0,0,NA,ward1,0,50,0.0196078431372549,Mon,Weekday,3,19
Comparison 1,Comparison,0,2019-08-09,12,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,12,0,Fri,Weekday,3,15.5
Comparison 1,Comparison,0,2019-08-14,15,2,0,0,0,0,0,0,0,0,0,NA,ward1,0,13,0.13333333333333333,Wed,Weekday,3,11
Comparison 2,Comparison,0,2019-07-30,12,5,0,0,0,0,0,0,0,0,0,NA,ward1,0,7,0.4166666666666667,Tue,Weekday,3,16.5
Comparison 2,Comparison,0,2019-07-31,8,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,8,0,Wed,Weekday,3,18.5
Comparison 2,Comparison,0,2019-08-12,4,1,0,0,0,0,0,0,0,0,0,NA,ward1,0,3,0.25,Mon,Weekday,3,12.5
Comparison 2,Comparison,0,2019-08-15,14,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,14,0,Thu,Weekday,3,17.5
Comparison 2,Comparison,0,2019-08-17,7,3,0,0,0,0,0,0,0,0,0,NA,ward1,0,4,0.42857142857142855,Sat,Weekend,3,10.5
Intervention 2,Intervention (Queen Club),0,2019-07-24,6,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,6,0,Wed,Weekday,2.9833333333333334,16.016666666666666
Intervention 2,Intervention (Queen Club),0,2019-07-29,9,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,9,0,Mon,Weekday,3,10.5
Intervention 2,Intervention (Queen Club),0,2019-07-30,7,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,7,0,Tue,Weekday,3,13.5
Intervention 2,Intervention (Queen Club),0,2019-08-11,2,0,0,0,0,0,0,0,0,0,0,NA,ward1,0,2,0,Sun,Weekend,3,13.5
Intervention 2,Intervention (Queen Club),0,2019-08-16,12,1,0,0,0,0,1,0,0,0,0,NA,ward1,0,11,0.08333333333333333,Fri,Weekday,3,16.5
Comparison 3,Comparison,0,2019-07-25,4,1,0,0,0,0,0,0,0,0,0,NA,ward1,0,3,0.25,Thu,Weekday,3,10.5
